Title,Year
Leon: The Professional,1994
Luchino Visconti - The Stranger,1967
M1l4n0 C4l1br0 9,1972
Mean Streets,1973
Midnight Run,1988
Miller's Crossing,1990
Mulholland Drive,2001
Nightcrawler,2014
No Country for Old Men,2007
No Time to Die,2021
North by Northwest,1959
Office Space,1999
Once Upon a Time in America,1984
Once Upon a Time in Hollywood,2019
One Flew Over the Cuckoo's Nest,1975
Paths of Glory,1957
Phone Booth,2002
Pineapple Express,2008
Platoon,1986
Point Blank,1967
Point Break,1991
Polar Express,2004
Predator,1987
Psycho,1960
Raging Bull,1980
Relatos Salvajes,2014
Repo Man,1984
Righteous Kill,2008
Risky Business,1983
Romanzo Criminale,2005
Saving Private Ryan,1998
Scarface,1983
Scary Movie,2000
Scrooged,1988
Se7en,1995
Serpico,1973
Seven Psychopaths,2012
Seven Samurai,1954
Shot Caller,2017
Sicario,2015
Sicario: Day of the Soldado,2018
Skyfall,2012
South Park,1997
Spectre,2015
SpongeBob SquarePants,1999
Star Wars: Episode IV – A New Hope,1977
Star Wars: Episode V – The Empire Strikes Back,1980
Star Wars: Episode VI – Return of the Jedi,1983
Star Wars: Episode I – The Phantom Menace,1999
Star Wars: Episode II – Attack of the Clones,2002
Star Wars: Episode III – Revenge of the Sith,2005
Stranger on the Third Floor,1940
Strangers on a Train,1951
Suicide Kings,1997
Swimming with Sharks,1994
Taxi Driver,1976
The Assassination of Jesse James,2007
The Batman,2022
The Big Lebowski,1998
The Bourne Identity,2002
The Bourne Supremacy,2004
The Bourne Ultimatum,2007
The Dark Knight Rises,2012
The Deer Hunter,1978
The Departed,2006
The Devil's Advocate,1997
The Equalizer,2014
The Fifth Element,1997
The Game,1997
The Godfather,1972
The Godfather Part II,1974
The Good Shepherd,2006
The Good, the Bad and the Ugly,1966
The Hateful Eight,2015
The Intouchables,2011
The Killing,1956
The Killing of a Chinese Bookie,1976
The King of Comedy,1982
The Last Temptation of Christ,1988
The Matrix,1999
The Men Who Stare at Goats,2009
The Nice Guys,2016
The Ninth Gate,1999
The Passion of the Christ,2004
The Player,1992
The Pope of Greenwich Village,1984
The Producers,1967
The Shawshank Redemption,1994
The Silence of the Lambs,1991
The Talented Mr. Ripley,1999
The Terminator,1984
The Thin Red Line,1998
The Thing,1982
The Thing from Another World,1951
The Third Man,1949
The Twilight Zone,1959
The Untouchables,1987
The Usual Suspects,1995
The Wild Bunch,1969
The Wolf of Wall Street,2013
The Asphalt Jungle,1950
The Big Sleep,1946
The Cat in the Hat,2003
The Day of the Jackal,1973
The French Connection,1971
The Gospel According to Matthew,1964
The Killer,2023
The King,2019
The Maltese Falcon,1941
The Martian,2015
The Shining,1980
The Thomas Crown Affair,1999
Thief,1981
Trading Places,1983
Training Day,2001
Tropic Thunder,2008
True Romance,1993
Vertigo,1958
What Just Happened,2008
Wild at Heart,1990
Young Frankenstein,1974
Zodiac,2007
Farewell My Lovely,1975
The Falcon and the Snowman,1985
